,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
6233790,sanofi,sanofi.com,,pharmaceuticals,10001+,"paris, île-de-france, france",france,linkedin.com/company/sanofi,38533,99940
1279232,bnp paribas,bnpparibas.com,1848,banking,10001+,"paris, île-de-france, france",france,linkedin.com/company/bnp-paribas,37835,101571
1712673,sodexo,sodexo.com,1966,facilities services,10001+,,,linkedin.com/company/sodexo,37611,86557
4474110,deutsche bank,db.com,1870,investment banking,10001+,"frankfurt, hessen, germany",germany,linkedin.com/company/deutsche-bank,37595,118832
3515714,tencent,tencent.com,1998,internet,10001+,"shenzhen, guangdong, china",china,linkedin.com/company/tencent,37574,42617
2769600,j.p. morgan,jpmorgan.com,,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/j-p-morgan,37431,98722
900902,verizon,verizon.com,1983,information technology and services,10001+,"basking ridge, new jersey, united states",united states,linkedin.com/company/verizon,37368,85643
323766,l'oréal,loreal.com,,cosmetics,10001+,"paris, île-de-france, france",france,linkedin.com/company/loreal,37319,107296
5827698,kpmg,kpmg.com,1987,accounting,10001+,"montvale, new jersey, united states",united states,linkedin.com/company/kpmg,36853,111980
5626776,orange,orange.com,1988,telecommunications,10001+,"paris, île-de-france, france",france,linkedin.com/company/orange,36340,92180
3621470,linkedin,linkedin.com,2003,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/linkedin,36309,43622
6821034,barclays,barclays.com,,financial services,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/barclays-bank,36200,105849
3372569,facebook,facebook.com,2004,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059
4837091,northrop grumman corporation,northropgrumman.com,1939,defense & space,10001+,"falls church, virginia, united states",united states,linkedin.com/company/northrop-grumman-corporation,35965,76734
3281536,fca fiat chrysler automobiles,fcagroup.com,1925,automotive,10001+,"turin, turin, italy",united kingdom,linkedin.com/company/fcagroup,35891,71331
564320,adp,adp.com,1949,human resources,10001+,"roseland, new jersey, united states",united states,linkedin.com/company/adp,35686,81555
6924238,medtronic,medtronic.com,1949,medical devices,10001+,"minneapolis, minnesota, united states",united states,linkedin.com/company/medtronic,35664,68465
2157414,abbott,abbott.com,1980,hospital & health care,10001+,"illinois city, illinois, united states",united states,linkedin.com/company/abbott-,35603,95035
4520410,chevron,chevron.com,1879,oil & energy,10001+,"san ramon, california, united states",united states,linkedin.com/company/chevron,34995,71825
1774905,roche,roche.com,1896,biotechnology,10001+,"basel, basel-city, switzerland",switzerland,linkedin.com/company/roche,34844,81068
370296,american express,americanexpress.com,1850,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/american-express,34816,104036
1603851,samsung electronics,samsung.com,1938,electrical/electronic manufacturing,10001+,"none, south carolina, united states",united states,linkedin.com/company/samsung-electronics,34021,77267
2617180,macy's,macysjobs.com,1858,retail,10001+,"cincinnati, ohio, united states",united states,linkedin.com/company/macy,33795,110896
3316706,thomson reuters,tr.com,2008,information technology and services,10001+,"new york, new york, united states",united states,linkedin.com/company/thomson-reuters,33745,96521
4186489,ministerio de educación,,,education management,10001+,,,linkedin.com/company/ministerio-de-educacion,33679,39862
3931276,avon,avoncompany.com,1886,cosmetics,10001+,"new york, new york, united states",united states,linkedin.com/company/avon,33670,64294
1596877,cgi,cgi.com,1976,information technology and services,10001+,"montréal, quebec, canada",canada,linkedin.com/company/cgi,33615,74922
480448,cvs health,cvshealth.com,1963,pharmaceuticals,10001+,"woonsocket, rhode island, united states",united states,linkedin.com/company/cvs-health,33408,70569
2030116,halliburton,halliburton.com,1919,oil & energy,10001+,"houston, texas, united states",united states,linkedin.com/company/halliburton,33250,75939
1693509,atos,atos.net,1997,information technology and services,10001+,"bezons, ile-de-france, france",france,linkedin.com/company/atos,32927,83052
5115047,pcs informatica,padulahodkin.com,,information technology and services,10001+,,,linkedin.com/company/pcs-informatica,32673,33132
5074544,ge healthcare,gehealthcare.com,1892,hospital & health care,10001+,"buckingham, buckinghamshire, united kingdom",united kingdom,linkedin.com/company/gehealthcare,32636,73081
875144,csc,csc.com,1959,information technology and services,10001+,"falls church, virginia, united states",united states,linkedin.com/company/csc,32601,120065
2990345,merck,merck.com,1891,pharmaceuticals,10001+,"kenilworth, new jersey, united states",united states,linkedin.com/company/merck,32210,93774
5981328,kpmg,beaconpartners.com,,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/kpmg-us,32208,133446
4561063,banco santander,santander.com,1857,banking,10001+,"boadilla del monte, madrid, spain",spain,linkedin.com/company/banco-santander,32008,84270
4375149,scotiabank,scotiabank.com,1832,banking,10001+,"toronto, ontario, canada",canada,linkedin.com/company/scotiabank,31726,65086
2586611,dxc technology,dxc.technology,2017,information technology and services,10001+,,united states,linkedin.com/company/dxctechnology,31671,39585
5305312,johnson controls,johnsoncontrols.com,1885,mechanical or industrial engineering,10001+,"milwaukee, wisconsin, united states",united states,linkedin.com/company/johnson-controls,31630,83000
4539986,posteamos.com,posteamos.com,2012,broadcast media,10001+,,,linkedin.com/company/posteamos-com,31626,31952
4800244,allstate,al.st,1931,insurance,10001+,"northbrook, illinois, united states",united states,linkedin.com/company/allstate,31490,63117
1704977,petrobras,petrobras.com.br,1953,oil & energy,10001+,"rio de janeiro, rio de janeiro, brazil",brazil,linkedin.com/company/petrobras,31454,51919
451029,credit suisse,credit-suisse.com,1856,banking,10001+,"zurich, zurich, switzerland",switzerland,linkedin.com/company/credit-suisse,31429,96595
4191852,telefónica,telefonica.com,1924,telecommunications,10001+,"madrid, madrid, spain",spain,linkedin.com/company/telefónica,31175,76432
3443830,marriott international,marriott.com,1927,hospitality,10001+,"bethesda, maryland, united states",united states,linkedin.com/company/marriott-international,31146,79978
2646059,axa,axa.com,,insurance,10001+,"paris, île-de-france, france",france,linkedin.com/company/axa,31068,75432
5146352,3m health care,3m.com,1902,mechanical or industrial engineering,10001+,"saint paul, minnesota, united states",united states,linkedin.com/company/3m,30937,69130
5216532,standard chartered bank,sc.com,,banking,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/standardchartered,30830,76125
7024799,xerox,xerox.com,1906,information technology and services,10001+,"norwalk, connecticut, united states",united states,linkedin.com/company/xerox,30765,109494
2077517,cbre,cbre.com,,real estate,10001+,"los angeles, california, united states",united states,linkedin.com/company/cbre,30665,65597
4338964,nyc department of education,nyc.gov,,education management,10001+,"new york, new york, united states",united states,linkedin.com/company/nyc-department-of-education,30526,45049
3896633,goldman sachs,goldmansachs.com,1869,investment banking,10001+,"new york, new york, united states",united states,linkedin.com/company/goldman-sachs,30470,92407
2359512,fidelity investments,fidelity.com,1946,financial services,10001+,"boston, massachusetts, united states",united states,linkedin.com/company/fidelity-investments,30346,75432
1732530,icici bank,icicibank.com,1994,banking,10001+,"bombay, maharashtra, india",india,linkedin.com/company/icici-bank,30286,72644
5203089,exxonmobil,exxonmobil.com,1999,oil & energy,10001+,"irving, texas, united states",united states,linkedin.com/company/exxonmobil,30131,72412
5144247,t-mobile,tmobile.com,2002,telecommunications,10001+,"bellevue, washington, united states",united states,linkedin.com/company/t-mobile,30100,71654
1823679,aon,aon.com,1987,financial services,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/aon,30079,86714
6862042,royal bank of scotland,rbs.com,,banking,10001+,"edinburgh, edinburgh, united kingdom",united kingdom,linkedin.com/company/royal-bank-of-scotland,29942,105000
761202,astrazeneca,astrazeneca.com,1999,pharmaceuticals,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/astrazeneca,29930,79360
6379771,nike,nike.com,1972,sporting goods,10001+,"beaverton, oregon, united states",united states,linkedin.com/company/nike,29731,73269
3749350,basf,basf.com,1865,chemicals,10001+,"ludwigshafen, rheinland-pfalz, germany",germany,linkedin.com/company/basf,29673,64209
1047582,hdfc bank,hdfcbank.com,1994,banking,10001+,,,linkedin.com/company/hdfc-bank,29653,58711
5407625,best buy,bestbuy.com,1966,retail,10001+,"richfield, minnesota, united states",united states,linkedin.com/company/best-buy,29568,120812
5232410,american airlines,aa.com,1930,airlines/aviation,10001+,"fort worth, texas, united states",united states,linkedin.com/company/american-airlines,29498,50719
2461776,baker hughes,bhge.com,,oil & energy,10001+,"houston, texas, united states",united states,linkedin.com/company/bhge,29481,62909
4458517,the coca-cola company,coca-colacompany.com,1892,food & beverages,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/the-coca-cola-company,29278,77857
630655,genpact,genpact.com,1997,information technology and services,10001+,"new york, new york, united states",united states,linkedin.com/company/genpact,29262,61600
260854,jll,jll.com,,commercial real estate,10001+,"chicago, illinois, united states",united states,linkedin.com/company/jll,29101,59098
5485082,rbc,rbc.com,1864,banking,10001+,"toronto, ontario, canada",canada,linkedin.com/company/rbc,28889,60194
4924366,u.s. bank,usbank.com,,banking,10001+,"minneapolis, minnesota, united states",united states,linkedin.com/company/us-bank,28763,62476
2483338,larsen & toubro,larsentoubro.com,,construction,10001+,"bombay, maharashtra, india",india,linkedin.com/company/larsen-&-toubro-limited,28206,57709
3237014,continental,continental-corporation.com,1871,automotive,10001+,"od, bayern, germany",germany,linkedin.com/company/continental,28156,53657
7145742,pnc,pnc.com,2014,financial services,10001+,"pittsburgh, pennsylvania, united states",united states,linkedin.com/company/pnc-bank,28132,59821
6629901,sprint,sprint.com,1899,telecommunications,10001+,"overland park, kansas, united states",united states,linkedin.com/company/sprint,28008,87996
4152474,saudi aramco,saudiaramco.com,1933,oil & energy,10001+,"dhahran, eastern province, saudi arabia",saudi arabia,linkedin.com/company/saudi-aramco,27631,40870
704809,g4s,g4s.com,1901,security and investigations,10001+,"crawley, west sussex, united kingdom",united kingdom,linkedin.com/company/g4s,27599,58905
5740063,airbus,airbusgroup.com,2014,aviation & aerospace,10001+,"arlington, virginia, united states",united states,linkedin.com/company/airbusgroup,27548,65277
762687,capital one,capitalone.com,1994,financial services,10001+,"mclean, virginia, united states",united states,linkedin.com/company/capital-one,27522,62144
5761469,delta air lines,delta.com,1928,airlines/aviation,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/delta-air-lines,27331,45222
3829495,carrefour,carrefour.fr,,supermarkets,10001+,"boulogne-billancourt, ile-de-france, france",france,linkedin.com/company/carrefour,27313,86711
5962263,ninguna,networkingchats.com,,"health, wellness and fitness",10001+,,,linkedin.com/company/ninguna,27288,33916
1368891,merrill lynch,ml.com,1914,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/merrilllynch,27206,115216
4852349,mondelēz international,mondelezinternational.com,1903,food production,10001+,"deerfield, illinois, united states",united states,linkedin.com/company/mondelezinternational,27152,70560
977265,bt,btplc.com,1981,telecommunications,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/bt,26894,75086
1046108,h&m,hm.com,1947,retail,10001+,"stockholm, stockholms lan, sweden",sweden,linkedin.com/company/h&m,26331,62664
3882572,anz,anz.com,1835,banking,10001+,"melbourne, victoria, australia",australia,linkedin.com/company/anz,26156,62120
4665946,farmers insurance,farmers.com,1928,insurance,10001+,"los angeles, california, united states",united states,linkedin.com/company/farmers-insurance,26029,50471
1220886,aecom,aecom.com,1990,civil engineering,10001+,"los angeles, california, united states",united states,linkedin.com/company/aecom,26008,55877
4287807,united states department of defense,defense.gov,1947,military,10001+,"washington, district of columbia, united states",united states,linkedin.com/company/united-states-department-of-defense,26000,50520
5573830,metlife,metlife.com,1868,insurance,10001+,"new york, new york, united states",united states,linkedin.com/company/metlife,25967,66578
2777830,total,total.com,1924,oil & energy,10001+,"san diego, california, united states",united states,linkedin.com/company/total,25780,64080
4814408,ikea group,ikea.com,,retail,10001+,"malmö, skåne, sweden",sweden,linkedin.com/company/ikea-group,25734,68830
6371940,cargill,cargill.com,1865,food production,10001+,"wayzata, minnesota, united states",united states,linkedin.com/company/cargill,25321,58954
318545,bae systems,baesystems.com,1999,defense & space,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/bae-systems,25166,62806
6041581,united airlines,united.com,1926,airlines/aviation,10001+,"chicago, illinois, united states",united states,linkedin.com/company/united-airlines,24967,42756
1085203,lavoratore indipendente,,,medical practice,10001+,,,linkedin.com/company/lavoratore-indipendente,24759,25286
4303138,mary kay inc.,marykay.com,1963,cosmetics,10001+,"addison, texas, united states",united states,linkedin.com/company/mary-kay-inc,24699,33206
2418053,liberty mutual insurance,libertymutualgroup.com,1912,insurance,10001+,"boston, massachusetts, united states",united states,linkedin.com/company/liberty-mutual-insurance,24623,52078
3408384,comcast,comcast.com,1963,media production,10001+,"philadelphia, pennsylvania, united states",united states,linkedin.com/company/comcast,24515,50032
6655777,caterpillar inc.,caterpillar.com,1925,machinery,10001+,"peoria heights, illinois, united states",united states,linkedin.com/company/caterpillar-inc,24304,52292
5373721,jacobs,jacobs.com,1947,construction,10001+,"pasadena, california, united states",united states,linkedin.com/company/jacobs,24241,53719
1389083,bny mellon,bnymellon.com,,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/bny-mellon,24183,57477
6109977,raytheon,raytheon.com,1922,defense & space,10001+,"waltham, massachusetts, united states",united states,linkedin.com/company/raytheon,23733,50573
2565554,société générale,societegenerale.com,1864,banking,10001+,"paris, île-de-france, france",france,linkedin.com/company/societe-generale,23484,72980
5505284,eli lilly and company,lilly.com,1876,pharmaceuticals,10001+,"indianapolis, indiana, united states",united states,linkedin.com/company/eli-lilly-and-company,23297,60234
6386936,hp,hp.com,,information technology and services,10001+,"palo alto, california, united states",united states,linkedin.com/company/hp,23294,72549
2451340,eskom,eskom.co.za,1923,utilities,10001+,,,linkedin.com/company/eskom,23290,30914
1715868,school,school-shop.fr,,textiles,10001+,,,linkedin.com/company/school,22985,24418
25915,uber,uber.com,2009,internet,10001+,"san francisco, california, united states",united states,linkedin.com/company/uber-com,22415,36867
7031229,lloyds banking group,lloydsbankinggroup.com,,financial services,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/lloyds-banking-group,22316,59097
4194738,kroger,thekrogerco.com,1883,retail,10001+,"cincinnati, ohio, united states",united states,linkedin.com/company/kroger,22257,52584
7017886,thermo fisher scientific,thermofisher.com,1956,research,10001+,"waltham, massachusetts, united states",united states,linkedin.com/company/thermo-fisher-scientific,22025,41527
6341362,renault,renault.com,,automotive,10001+,,,linkedin.com/company/renault,21826,54145
3861520,nhs trust,nhs.net,,hospital & health care,10001+,,,linkedin.com/company/nhs-trust,21826,27276
1474115,willis towers watson,willistowerswatson.com,1828,financial services,10001+,"london, england, united kingdom",united kingdom,linkedin.com/company/willis-towers-watson,21813,52381
3097566,hospital universitario josep trueta,scsalud.es,,"health, wellness and fitness",10001+,,,linkedin.com/company/hospital_2,21796,23390
6743549,aig,aig.com,1919,insurance,10001+,"new york, new york, united states",united states,linkedin.com/company/aig,21673,62772
1012973,state bank of india,sbi.co.in,1806,banking,10001+,"bombay, maharashtra, india",india,linkedin.com/company/state-bank-of-india,21645,28145
1742171,fedex express,fedex.com,1973,package/freight delivery,10001+,,,linkedin.com/company/fedex-express,21642,38631
3074526,novo nordisk,novonordisk.com,1923,pharmaceuticals,10001+,"plainsboro, new jersey, united states",united states,linkedin.com/company/novo-nordisk,21638,40316
4620102,mynet,mynet.com,1999,internet,10001+,"maslak, istanbul, turkey",turkey,linkedin.com/company/mynet,21612,22123
155797,vale,vale.com,1942,mining & metals,10001+,"rio de janeiro, rio de janeiro, brazil",brazil,linkedin.com/company/vale,21569,44516
2588212,itaú unibanco,itau.com.br,1945,banking,10001+,"sao paulo, sao paulo, brazil",brazil,linkedin.com/company/itau,21539,53270
3112107,h&r block,hrblock.com,1955,retail,10001+,"kansas city, missouri, united states",united states,linkedin.com/company/h&r-block,21410,50330
1497651,sncf,sncf.com,1938,transportation/trucking/railroad,10001+,"saint-denis-de-palin, centre, france",france,linkedin.com/company/sncf,21359,42784
317196,social security administration,socialsecurity.gov,1935,government administration,10001+,"baltimore, maryland, united states",united states,linkedin.com/company/ssa,21150,28143
2276538,"bright futures, a college and career management company",,,mental health care,10001+,,,linkedin.com/company/bright-futures-a-college-and-career-management-company,21041,21225
5300977,costco wholesale,costco.com,1983,retail,10001+,"issaquah, washington, united states",united states,linkedin.com/company/costco-wholesale,21030,39071
3499466,thales,thalesgroup.com,2015,defense & space,10001+,"alexandria, virginia, united states",united states,linkedin.com/company/thales,20983,54041
185483,convergys,convergys.com,1998,outsourcing/offshoring,10001+,"cincinnati, ohio, united states",united states,linkedin.com/company/convergys,20979,74278
3316833,ministry of education,mogaisrael.com,,design,10001+,,,linkedin.com/company/ministry-of-education,20964,24627
2679224,tesco plc,tescoplc.com,1919,retail,10001+,"hertfordshire, hertfordshire, united kingdom",united kingdom,linkedin.com/company/-tesco,20960,58143
